"Date","State","City","Summary","time","altitude","reporter","relative_location","evasive_action","disposition","report_type"
2025-04-04,"CALIFORNIA","VAN NUYS","PRELIM INFO FROM FAA OPS: VAN NUYS, CA/UAS SIGHTING/1215P/SOCAL TRACON ADVISED, B38M, LAX - SMF, REPORTED UAS FROM THE 10 O'CLOCK POSITION WHILE N BOUND AT 8,000 FEET 14 SSW VNY. NO EVASIVE ACTION TAKEN. LAPD AVIATION UNIT NOTIFIED.","1215P","000 FEET","SMF","14 SSW VNY","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-04,"OREGON","HOOD RIVER","PRELIM INFO FROM FAA OPS: HOOD RIVER, OR/UAS SIGHTING/1505P/SEATTLE ARTCC ADVISED, CESSNA C72R, REPORTED A UAS WHILE SE BOUND AT 3,000 FEET 2 SW HOOD RIVER ARPT (4S2). NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC JG/JW","1505P","000 FEET",NA,"2 SW HOOD","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-04,"FLORIDA","TAMPA","PRELIM INFO FROM FAA OPS: TAMPA, FL/UAS SIGHTING/2215E/TAMPA APCH ADVISED, CIRRUS 2R20, REPORTED A UAS FROM THE 12 O'CLOCK POSITION WHILE S BOUND AT 7,000 FEET 26 NNE TPA. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.","2215E","000 FEET",NA,"26 NNE TPA","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-04,"NEVADA","LAS VEGAS","PRELIM INFO FROM FAA OPS: LAS VEGAS, NV/UAS SIGHTING/1533P/LAS VEGAS ATCT ADVISED, GULFSTREAM GLF5, REPORTED A UAS WHILE N BOUND AT 7,000 FEET 15 S LAS. NO EVASIVE ACTION TAKEN. LAS VEGAS PD NOTIFIED.","1533P","000 FEET",NA,"15 S LAS","NO EVASIVE ACTION TAKEN","PD NOTIFIED","PRELIM INFO"
2025-04-04,"CALIFORNIA","SAN FRANCISCO","PRELIM INFO FROM FAA OPS: SAN FRANCISCO, CA/UAS SIGHTING/1556P/SAN FRANCISCO ATCT ADVISED, A333, COPENHAGEN, DENMARK (EKCH) - SFO, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE W BOUND AT 1,800 FEET 5 W SFO. NO EVASIVE ACTION TAKEN. SFO COMM CENTER NOTIFIED.","1556P","800 FEET","SFO","5 W SFO","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-05,"FLORIDA","FORT PIERCE","PRELIM INFO FROM FAA OPS: FORT PIERCE, FL/UAS SIGHTING/1055E/FORT PIERCE ATCT ADVISED, CESSNA C172, REPORTED A DARK COLORED UAS AT THE 9 O'CLOCK POSITION 200 FEET BELOW WHILE W BOUND AT 1,200 FEET 5 N FPR. NO EVASIVE ACTION TAKEN. LOCAL LEO NOTIFIED.","1055E","200 FEET",NA,"5 N FPR","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-05,"FLORIDA","FORT LAUDERDALE","PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1224E/FORT LAUDERDALE ATCT ADVISED, A320, GRR - FLL, REPORTED UAS FROM THE 9 O'CLOCK POSITION WHILE E BOUND AT 2,000 FEET 9 W FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF HELO NOTIFIED.","1224E","000 FEET","FLL","9 W FLL","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-05,"FLORIDA","FORT LAUDERDALE","PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1234E/FORT LAUDERDALE ATCT ADVISED, A320, NASSAU, BAHAMAS (MYNN) - FLL, REPORTED UAS FROM THE 9 O'CLOCK POSITION WHILE E BOUND AT 2,000 FEET 9 W FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF HELO NOTIFIED.","1234E","000 FEET","FLL","9 W FLL","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-05,"FLORIDA","FORT LAUDERDALE","PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1234E/FORT LAUDERDALE ATCT ADVISED, A320, CVG - FLL, REPORTED UAS FROM THE 9 O'CLOCK POSITION WHILE E BOUND AT 2,000 FEET 9 W FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF HELO NOTIFIED.","1234E","000 FEET","FLL","9 W FLL","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-05,"NORTH CAROLINA","RALEIGH/DURHAM","PRELIM INFO FROM FAA OPS: RALEIGH-DURHAM, NC/UAS SIGHTING/1300E/RALEIGH DURHAM ATCT ADVISED, DIAMOND DA42, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE WNW BOUND AT 2,600 FEET 10 SE RDU. NO EVASIVE ACTION TAKEN. WAKE COUNTY SHERIFF NOTIFIED.","1300E","600 FEET",NA,"10 SE RDU","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-05,"CALIFORNIA","VAN NUYS","PRELIM INFO FROM FAA OPS: VAN NUYS, CA/UAS SIGHTING/1204P/VAN NUYS ATCT ADVISED, GULFSTREAM GLF6, TEB - VNY, REPORTED A UAS WHILE E BOUND AT 3,400 FEET 4.5 SSW VNY. NO EVASIVE ACTION TAKEN. VAN NUYS PD HELICOPTER NOTIFIED.","1204P","400 FEET","VNY","4.5 SSW VNY","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-06,"ILLINOIS","CHICAGO","PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1052C/CHICAGO TRACON ADVISED, E145, MSN - ORD, REPORTED 2 WHITE UAS WHILE S BOUND AT 4,500 FEET 20 WNW ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.","1052C","500 FEET","ORD","2 WHITE","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-06,"ILLINOIS","CHICAGO","PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1133C/CHICAGO TRACON ADVISED, CRJ7, CHO - ORD, REPORTED SMALL WHITE UAS WHILE W BOUND AT 5,000 FEET 13 WSW ORD. NO EVASIVE ACTION TAKEN. LOCAL LEOS NOTIFIED.","1133C","000 FEET","ORD","13 WSW ORD","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-06,"FLORIDA","FORT LAUDERDALE","PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1255E/FORT LAUDERDALE ATCT ADVISED, A21N, JFK - FLL, REPORTED A UAS WITH 2 LIGHTS AT THE 9 O'CLOCK POSITION WHILE E BOUND AT 1,300 FEET 4 W FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF NOTIFIED.","1255E","300 FEET","FLL","4 W FLL","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-06,"FLORIDA","FORT LAUDERDALE","PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS SIGHTING/1718E/FORT LAUDERDALE ATCT ADVISED, LEARJET LJ31, PDK - FLL, REPORTED A BLACK UAS AT THE 3 O'CLOCK POSITION WHILE E BOUND AT 700 FEET 2 W FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY SHERIFF NOTIFIED.","1718E","700 FEET","FLL","2 W FLL","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-06,"FLORIDA","ORLANDO","PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS SIGHTING/1802E/CENTRAL FLORDIA TRACON ADVISED, EMBRAER E55P, TVI - SFB, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 3,500 FEET 9 N SFB. NO EVASIVE ACTION TAKEN. ORANGE COUNTY SHERIFF NOTIFIED.","1802E","500 FEET","SFB","9 N SFB","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-06,"ILLINOIS","CHICAGO","PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1718C/CHICAGO TRACON ADVISED, E170, MEM - ORD, REPORTED UAS AT THE 12 O'CLOCK POSITION WHILE E BOUND AT 4,000 FEET 11 W ORD. NO EVASIVE ACTION TAKEN. CHICAGO FBI NOTIFIED.","1718C","000 FEET","ORD","11 W ORD","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-06,"ILLINOIS","CHICAGO","PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1734C/CHICAGO TRACON ADVISED, CRJ2, CGI - ORD, OBSERVED A WHITE UAS AT THE 12 O'CLOCK POSITION WHILE E BOUND AT 4,000 FEET 11 W ORD. NO EVASIVE ACTION TAKEN. CHICAGO FBI NOTIFIED.","1734C","000 FEET",NA,"11 W ORD","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-06,"NEW YORK","NEW YORK","PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1909E/ISLIP ATCT ADVISED, CESSNA C172, REPORTED A BLACK UAS FROM THE 8 O'CLOCK POSITION WHILE NNW BOUND AT 1,000 FEET 4 S ISP. NO EVASIVE ACTION TAKEN. SUFFOLK COUNTY PD AVIATION UNIT NOTIFIED.","1909E","000 FEET",NA,"4 S ISP","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-06,"New York","Bayport","PRELIM INFO FROM FAA OPS: BAYPORT, NEW YORK/UAS SIGHTING/1909E/ISLIP ATCT ADVISED, PIPER P28A, ISP - GON, REPORTED UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 1,000 FEET 4 S ISP. NO EVASIVE ACTION TAKEN. SUFFOLK COUNTY PD AVIATION NOTIFIED.","1909E","000 FEET","GON","4 S ISP","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-08,"TEXAS","DALLAS-FORT WORTH","PRELIM INFO FROM FAA OPS: DALLAS-FORT WORTH, TX/UAS SIGHTING/1135C/DALLAS-FORT WORTH ATCT ADVISED, B738, VANCOUVER, CANADA (CYVR) - DFW, REPORTED A WHITE UAS FROM THE ONE O'CLOCK WHILE S BOUND AT 1,500 FEET 3 N DFW. NO EVASIVE ACTION TAKEN. TEXAS DPS NOTIFIED.","1135C","500 FEET","DFW","3 N DFW","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-08,"GEORGIA","AUGUSTA","PRELIM INFO FROM FAA OPS: AUGUSTA, GA/UAS SIGHTING/1515E/AUGUSTA ATCT ADVISED, GULFSTREAM GL5T, AGS - IAD, REPORTED A MEDIUM GREY UAS BELOW ACFT WHILE N BOUND AT 1,500 FEET 1 N AGS. NO EVASIVE ACTION TAKEN. RICHMOND COUNTY SHERIFF NOTIFIED.","1515E","500 FEET","IAD","1 N AGS","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-08,"FLORIDA","ORLANDO","PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS SIGHTING/1822E/ORLANDO ATCT ADVISED, SR20, SFB - SFB, REPORTED A RED UAS FROM THE 3 O'CLOCK POSITION WHILE W BOUND AT 1,000 FEET 1.5 W SFB. NO EVASIVE ACTION TAKEN. SEMINOLE COUNTY SHERIFF AVIATION UNIT NOTIFIED.","1822E","000 FEET","SFB","1.5 W SFB","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-08,"NORTH DAKOTA","FARGO","PRELIM INFO FROM FAA OPS: FARGO, ND/UAS SIGHTING/1824C/FARGO ATCT ADVISED, B752, FSD - FAR, REPORTED A UAS 100 FEET ABOVE WHILE S BOUND AT 2,800 FEET 14 N FAR. NO EVASIVE ACTION TAKEN. RED RIVER DISPATCH NOTIFIED.","1824C","100 FEET","FAR","14 N FAR","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-09,"NEW HAMPSHIRE","PORTSMOUTH","PRELIM INFO FROM FAA OPS: PORTSMOUTH, NH/UAS SIGHTING/1451E/PORTSMOUTH ATCT ADVISED, SIAI-MARCHETTI S05R, REPORTED UAS AT 1,300 FEET 3.4 SE PSM. NO EVASIVE ACTION TAKEN. NEWINGTON PD NOTIFIED.","1451E","300 FEET",NA,"3.4 SE PSM","NO EVASIVE ACTION TAKEN","PD NOTIFIED","PRELIM INFO"
2025-04-09,"NEW YORK","NEW YORK","PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1657E/NEW YORK TRACON ADVISED, E75L, RIC - LGA, REPORTED BLACK UAS WHILE NE BOUND AT 4,000 FEET 8 WSW LGA. NO EVASIVE ACTION TAKEN. NYPD AVIATION UNIT NOTIFIED.","1657E","000 FEET","LGA","8 WSW LGA","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-09,"NEVADA","LAS VEGAS","PRELIM INFO FROM FAA OPS: LAS VEGAS, NV/UAS SIGHTING/LATE REPORT 4-9 1607P/LAS VEGAS ATCT ADVISED, A21N, DFW - LAS, REPORTED A UAS WHILE S BOUND AT 3,100 FEET 3 N LAS. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC JG/JW","1607P","100 FEET","LAS","3 N LAS","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-09,"COLORADO","DENVER","PRELIM INFO FROM FAA OPS: DENVER, CO/UAS SIGHTING/1918M/CENTENNIAL ATCT ADVISED, PIPER P28A, REPORTED A UAS FROM THE 12 O'CLOCK POSITION WHILE S BOUND AT 6,600 FEET 1 SW APA. NO EVASIVE ACTION TAKEN. ARAPAHOE COUNTY SHERIFF NOTIFIED.","1918M","600 FEET",NA,"1 SW APA","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-10,"NEW YORK","NEW YORK","PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1158E/LONG ISLAND ATCT ADVISED, E195, RDU - ISP, REPORTED A UAS WHILE W BOUND AT 800 FEET 2 ENE ISP. NO EVASIVE ACTION TAKEN. SCPD NOTIFIED.","1158E","800 FEET","ISP","2 ENE ISP","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-10,"LOUISIANA","LAFAYETTE","PRELIM INFO FROM FAA OPS: LAFAYETTE, LA/UAS SIGHTING/1310C/LAFAYETTE ATCT ADVISED, CRJ7, DFW - LFT, OBSERVED A UAS WHILE SE BOUND AT 900 FEET 2 NE LFT. NO EVASIVE ACTION TAKEN. LAFAYETTE PD NOTIFIED.","1310C","900 FEET",NA,"2 NE LFT","NO EVASIVE ACTION TAKEN","PD NOTIFIED","PRELIM INFO"
2025-04-10,"ILLINOIS","PEORIA","PRELIM INFO FROM FAA OPS: PEORIA, IL/UAS SIGHTING/LATE REPORT-1355C/PEORIA ATCT ADVISED, EUROCOPTER EC45, REPORTED A UAS AT THE 3 O'CLOCK POSITION 200 FEET BELOW WHILE WSW BOUND AT 1,500 FEET 7 E PIA. NO EVASIVE ACTION TAKEN. PEORIA COUNTY SHERIFF NOTIFIED.","1355C","200 FEET",NA,"7 E PIA","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-10,"NORTH CAROLINA","WALLACE","PRELIM INFO FROM FAA OPS: WALLACE, NC/UAS INCIDENT/1525E/WILMINGTON ATCT ADVISED, CESSNA C172, REPORTED UAS WHILE S BOUND AT 2,900 FEET 10 S ACZ. ACFT TURNED RIGHT TO AVOID UAS. PENDER COUNTY DISPATCH NOTIFIED.","1525E","900 FEET",NA,"10 S ACZ",NA,NA,"PRELIM INFO"
2025-04-10,"ALABAMA","BIRMINGHAM","PRELIM INFO FROM FAA OPS: BIRMINGHAM, AL/UAS SIGHTING/1946C/BIRMINGHAM ATCT ADVISED, K35R, REPORTED A RED AND WHITE UAS WHILE WSW BOUND AT 1,300 FEET 2 ENE BHM. NO EVASIVE ACTION TAKEN. BIRMINGHAM PD NOTIFIED.","1946C","300 FEET",NA,"2 ENE BHM","NO EVASIVE ACTION TAKEN","PD NOTIFIED","PRELIM INFO"
2025-04-11,"CALIFORNIA","VAN NUYS","PRELIM INFO FROM FAA OPS: VAN NUYS, CA/UAS SIGHTING/1155P/VAN NUYS ATCT ADVISED, ECLIPSE EA50, SJC - VNY, REPORTED UAS AT 2,000 FEET WHILE SSE BOUND VCNTY VNY. NO EVASIVE ACTION TAKEN. PD 16 NOTIFIED. WOC SJ/JG","1155P","000 FEET","VNY",". NO","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-11,"ILLINOIS","KANKAKEE","PRELIM INFO FROM FAA OPS: KANKAKEE, IL/UAS SIGHTING/1640C/CHICAGO ARTCC ADVISED, PIPER PA44, JVY - DPA, REPORTED UAS AT 7,000 FEET WHILE NNW BOUND 5 E IKK. NO EVASIVE ACTION TAKEN. ESSEX VILLAGE PD. WOC 202-267-3333 SJ/JG","1640C","000 FEET","DPA","5 E IKK","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-12,"FLORIDA","ORLANDO","PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS SIGHTING/0823E/SANFORD ATCT ADVISED, PIPER P28A, REPORTED A UAS FROM THE 12 O'CLOCK POSITION WHILE E BOUND AT 1,000 FEET 2 NE SFB. NO EVASIVE ACTION TAKEN. SEMINOLE COUNTY AVIATION UNIT NOTIFIED.","0823E","000 FEET",NA,"2 NE SFB","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-12,"FLORIDA","OCALA","PRELIM INFO FROM FAA OPS: OCALA, FL/UAS SIGHTING/1150E/JACKSONVILLE ATCT ADVISED, PIPER PA44, REPORTED A GREEN UAS FROM THE 9 O'CLOCK POSITION WHILE NW BOUND AT 4,000 FEET 5 N OCF. NO EVASIVE ACTION TAKEN. OCALA PD NOTIFIED.","1150E","000 FEET",NA,"5 N OCF","NO EVASIVE ACTION TAKEN","PD NOTIFIED","PRELIM INFO"
2025-04-12,"GEORGIA","ATLANTA","PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1335E/DEKALB PEACHTREE ATCT ADVISED, CESSNA C172, WHILE ON THE GROUND REPORTED UAS AT 1,000 FEET OFF APCH END OF RUNWAY 3R VCNTY PDK. CHAMBLEE PD NOTIFIED.","1335E","000 FEET",NA,NA,NA,"PD NOTIFIED","PRELIM INFO"
2025-04-12,"INDIANA","RENSSELAER","PRELIM INFO FROM FAA OPS: RENSSELAER, IN/UAS SIGHTING/1320C/CHICAGO ARTCC ADVISED, CESSNA C56X, DTS - GYY, REPORTED UAS WHILE NNW BOUND AT 10,000 FEET 4 SW RZL. JASPER COUNTY SHERIFF NOTIFIED.","1320C","000 FEET","GYY","4 SW RZL",NA,NA,"PRELIM INFO"
2025-04-12,"ARIZONA","PHOENIX","PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS SIGHTING/1228M/DEER VALLEY ATCT ADVISED, PIPER P28A, REPORTED A SMALL RED UAS 100 FEET BELOW ACFT FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 2,300 FEET 2 WNW DVT. NO EVASIVE ACTION REPORTED. PHOENIX PD NOTIFIED.","1228M","100 FEET",NA,"2 WNW DVT",NA,"PD NOTIFIED","PRELIM INFO"
2025-04-12,"CALIFORNIA","SAN CARLOS","PRELIM INFO FROM FAA OPS: SAN CARLOS, CA/UAS SIGHTING/1220P/SAN CARLOS ATCT ADVISED, SOCATA TRINIDAD, O88 - SQL, REPORTED UAS WHILE S BOUND AT 1,000 FEET 2.5 NE SQL. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC JR/PM","1220P","000 FEET","SQL","2.5 NE SQL","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-12,"MISSISSIPPI","GULFPORT","PRELIM INFO FROM FAA OPS: GULFPORT, MS/UAS SIGHTING/1430C/GULFPORT ATCT ADVISED, BELL B206, REPORTED A UAS FROM THE 3 0'CLOCK POSITION WHILE SSW BOUND AT 800 FEET 1 E GPT. NO EVASIVE ACTION REPORTED. HARRISON COUNTY SHERIFF NOTIFIED.","1430C","800 FEET",NA,"1 E GPT",NA,NA,"PRELIM INFO"
2025-04-12,"CALIFORNIA","SAN FRANCISCO","PRELIM INFO FROM FAA OPS: SAN FRANCISCO, CA/UAS SIGHTING/1953P/SAN FRANCISCO ATCT ADVISED, B38M, MIA - SFO, REPORTED A BLACK UAS AT SAME ALTITUDE WHILE ESE BOUND AT 2,000 FEET 6 NE SFO. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC DW/MC","1953P","000 FEET","SFO","6 NE SFO","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-13,"NEW YORK","ISLIP","PRELIM INFO FROM FAA OPS: ISLIP, NY/UAS SIGHTING/1418E/ISLIP ATCT ADVISED, A320, PBI - ISP, REPORTED A SMALL WHITE UAS FROM THE 3 O'CLOCK POSITION WHILE NNW BOUND AT 700 FEET 3 SSE ISP. NO EVASIVE ACTION REPORTED. SUFFOLK COUNTY PD NOTIFIED.","1418E","700 FEET","ISP","3 SSE ISP",NA,"PD NOTIFIED","PRELIM INFO"
2025-04-13,"NEW YORK","NEW YORK","PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1418E/ISLIP ATCT ADVISED, PIPER P28A, REPORTED SMALL WHITE UAS WHILE CONDUCTING PATTERN WORK AT UNKN ALTITUDE 3 SSE ISP. NO EVASIVE ACTION REPORTED. SUFFOLK COUNTY PD NOTIFIED.","1418E",NA,NA,"3 SSE ISP",NA,"PD NOTIFIED","PRELIM INFO"
2025-04-13,"NORTH CAROLINA","RALEIGH/DURHAM","PRELIM INFO FROM FAA OPS: RALEIGH-DURHAM, NC/UAS SIGHTING/1425E/RALEIGH ATCT ADVISED, PIPER P28A, REPORTED A SMALL RED UAS WHILE NW BOUND AT 2,000 FEET 8 SE RDU. NO EVASIVE ACTION TAKEN. RALEIGH PD NOTIFIED.","1425E","000 FEET",NA,"8 SE RDU","NO EVASIVE ACTION TAKEN","PD NOTIFIED","PRELIM INFO"
